turn_id,pause_index,p_eot
hi__079,2,0.8747
hi__080,0,0.2869
hi__080,1,0.6016
hi__081,0,0.5292
hi__081,1,0.5621
hi__081,2,0.7145
hi__082,0,0.5346
hi__083,0,0.5053
hi__084,0,0.8308
hi__085,0,0.3454
hi__085,1,0.4986
hi__085,2,0.7313
hi__086,0,0.3794
hi__086,1,0.6069
hi__087,0,0.4903
hi__087,1,0.2482
hi__087,2,0.8919
hi__088,0,0.2160
hi__088,1,0.4039
hi__088,2,0.3382
hi__089,0,0.4112
hi__089,1,0.2683
hi__089,2,0.6531
hi__090,0,0.4003
hi__090,1,0.5790
hi__090,2,0.6462
hi__090,3,0.2811
hi__091,0,0.8125
hi__092,0,0.5016
hi__093,0,0.5254
hi__094,0,0.4434
hi__094,1,0.2162
hi__094,2,0.7319
hi__094,3,0.4211
hi__094,4,0.5298
hi__094,5,0.8917
hi__095,0,0.5346
hi__095,1,0.7720
hi__096,0,0.1553
hi__096,1,0.3814
hi__096,2,0.3595
hi__096,3,0.4968
hi__097,0,0.4338
hi__097,1,0.8014
hi__097,2,0.3768
hi__097,3,0.8351
hi__097,4,0.3763
hi__097,5,0.4422
hi__098,0,0.4409
hi__099,0,0.3370
hi__099,1,0.5823
