turn_id,pause_index,p_eot
hi__073,1,0.3041
hi__073,2,0.5427
hi__073,3,0.6161
hi__073,4,0.2506
hi__073,5,0.5666
hi__074,0,0.6506
hi__074,1,0.6272
hi__075,0,0.2561
hi__075,1,0.6454
hi__076,0,0.6335
hi__077,0,0.5884
hi__077,1,0.5157
hi__077,2,0.5978
hi__078,0,0.4335
hi__078,1,0.3538
hi__078,2,0.3989
hi__078,3,0.2924
hi__079,0,0.3605
hi__079,1,0.4207
hi__079,2,0.5965
hi__080,0,0.5485
hi__080,1,0.4644
hi__081,0,0.6281
hi__081,1,0.6000
hi__081,2,0.6608
hi__082,0,0.5209
hi__083,0,0.5041
hi__084,0,0.5161
hi__085,0,0.5806
hi__085,1,0.6318
hi__085,2,0.6261
hi__086,0,0.4684
hi__086,1,0.4731
hi__087,0,0.6682
hi__087,1,0.6032
hi__087,2,0.6589
hi__088,0,0.4013
hi__088,1,0.5055
hi__088,2,0.4498
hi__089,0,0.5308
hi__089,1,0.5007
hi__089,2,0.4869
hi__090,0,0.4229
hi__090,1,0.3252
hi__090,2,0.6049
hi__090,3,0.3216
hi__091,0,0.6179
hi__092,0,0.5890
hi__093,0,0.6662
hi__094,0,0.4780
hi__094,1,0.2833
hi__094,2,0.4208
hi__094,3,0.4163
hi__094,4,0.4202
hi__094,5,0.5423
hi__095,0,0.5891
hi__095,1,0.5990
hi__096,0,0.3191
hi__096,1,0.4017
hi__096,2,0.4449
hi__096,3,0.5370
hi__097,0,0.4386
hi__097,1,0.6210
hi__097,2,0.4137
hi__097,3,0.5846
hi__097,4,0.3654
hi__097,5,0.3596
hi__098,0,0.5317
hi__099,0,0.2883
hi__099,1,0.4588
