turn_id,pause_index,p_eot
hi__046,1,0.1959
hi__046,2,0.5377
hi__047,0,0.2720
hi__048,0,0.3860
hi__049,0,0.7840
hi__050,0,0.6182
hi__051,0,0.4816
hi__051,1,0.4718
hi__051,2,0.3827
hi__052,0,0.4635
hi__053,0,0.2493
hi__053,1,0.5617
hi__053,2,0.5643
hi__054,0,0.6777
hi__054,1,0.9441
hi__055,0,0.2910
hi__055,1,0.6583
hi__056,0,0.6939
hi__057,0,0.0966
hi__057,1,0.5455
hi__058,0,0.3026
hi__058,1,0.8875
hi__059,0,0.3793
hi__059,1,0.2898
hi__059,2,0.6544
hi__060,0,0.9793
hi__060,1,0.2481
hi__061,0,0.2365
hi__061,1,0.5427
hi__062,0,0.4737
hi__063,0,0.0839
hi__063,1,0.3589
hi__063,2,0.5048
hi__063,3,0.8279
hi__064,0,0.3395
hi__064,1,0.4337
hi__064,2,0.2045
hi__064,3,0.9190
hi__064,4,0.4022
hi__065,0,0.5944
hi__066,0,0.0345
hi__066,1,0.3926
hi__066,2,0.7602
hi__067,0,0.4872
hi__068,0,0.7881
hi__069,0,0.0248
hi__069,1,0.3530
hi__069,2,0.1255
hi__069,3,0.5853
hi__069,4,0.3729
hi__069,5,0.7202
hi__070,0,0.2613
hi__070,1,0.7160
hi__071,0,0.3684
hi__071,1,0.4132
hi__071,2,0.2924
hi__072,0,0.4189
hi__072,1,0.7026
hi__073,0,0.2154
hi__073,1,0.4001
hi__073,2,0.5940
hi__073,3,0.6152
hi__073,4,0.3987
hi__073,5,0.8867
hi__074,0,0.5054
hi__074,1,0.4267
hi__075,0,0.2872
hi__075,1,0.9637
hi__076,0,0.9159
hi__077,0,0.5921
hi__077,1,0.2538
hi__077,2,0.5605
hi__078,0,0.4429
hi__078,1,0.2959
hi__078,2,0.8378
hi__078,3,0.5184
hi__079,0,0.2603
hi__079,1,0.4119
hi__079,2,0.8345
hi__080,0,0.3056
hi__080,1,0.6581
hi__081,0,0.3418
hi__081,1,0.4885
hi__081,2,0.6207
hi__082,0,0.4858
hi__083,0,0.5689
hi__084,0,0.8922
hi__085,0,0.1869
hi__085,1,0.6158
hi__085,2,0.7418
hi__086,0,0.4606
hi__086,1,0.5456
hi__087,0,0.5936
hi__087,1,0.2615
hi__087,2,0.8782
hi__088,0,0.2156
hi__088,1,0.4273
hi__088,2,0.5466
hi__089,0,0.2524
hi__089,1,0.2048
hi__089,2,0.5208
hi__090,0,0.4777
hi__090,1,0.6564
hi__090,2,0.5796
hi__090,3,0.3312
hi__091,0,0.7804
hi__092,0,0.4566
hi__093,0,0.6659
hi__094,0,0.3389
hi__094,1,0.2556
hi__094,2,0.6980
hi__094,3,0.4591
hi__094,4,0.4805
hi__094,5,0.8564
hi__095,0,0.3868
hi__095,1,0.7035
hi__096,0,0.3297
hi__096,1,0.0963
hi__096,2,0.3269
hi__096,3,0.5526
hi__097,0,0.4193
hi__097,1,0.7497
hi__097,2,0.4320
hi__097,3,0.7643
hi__097,4,0.6665
hi__097,5,0.4123
hi__098,0,0.5456
hi__099,0,0.3670
hi__099,1,0.6263
